location,hits,keyword,geo,gprop
Utah,0,thanksgiving,US,web
Alaska,0,thanksgiving,US,web
Idaho,1,thanksgiving,US,web
Vermont,0,thanksgiving,US,web
Kansas,3,thanksgiving,US,web
Maryland,0,thanksgiving,US,web
Georgia,0,thanksgiving,US,web
Delaware,0,thanksgiving,US,web
New Hampshire,0,thanksgiving,US,web
New Jersey,0,thanksgiving,US,web
Arizona,0,thanksgiving,US,web
Connecticut,0,thanksgiving,US,web
New Mexico,6,thanksgiving,US,web
Rhode Island,0,thanksgiving,US,web
Florida,0,thanksgiving,US,web
Texas,11,thanksgiving,US,web
District of Columbia,0,thanksgiving,US,web
Nevada,0,thanksgiving,US,web
Virginia,0,thanksgiving,US,web
New York,0,thanksgiving,US,web
California,0,thanksgiving,US,web
Massachusetts,0,thanksgiving,US,web
Colorado,0,thanksgiving,US,web
Oregon,0,thanksgiving,US,web
Washington,0,thanksgiving,US,web
West Virginia,0,thanksgiving,US,web
Louisiana,0,thanksgiving,US,web
Alabama,0,thanksgiving,US,web
Maine,0,thanksgiving,US,web
Nebraska,0,thanksgiving,US,web
Michigan,2,thanksgiving,US,web
Hawaii,0,thanksgiving,US,web
North Carolina,1,thanksgiving,US,web
Illinois,0,thanksgiving,US,web
Arkansas,0,thanksgiving,US,web
South Carolina,0,thanksgiving,US,web
Oklahoma,0,thanksgiving,US,web
Missouri,0,thanksgiving,US,web
Wisconsin,0,thanksgiving,US,web
Pennsylvania,0,thanksgiving,US,web
Mississippi,0,thanksgiving,US,web
Ohio,1,thanksgiving,US,web
Indiana,0,thanksgiving,US,web
Iowa,0,thanksgiving,US,web
Kentucky,0,thanksgiving,US,web
Tennessee,0,thanksgiving,US,web
Minnesota,0,thanksgiving,US,web
South Dakota,1,thanksgiving,US,web
Montana,0,thanksgiving,US,web
North Dakota,0,thanksgiving,US,web
Wyoming,0,thanksgiving,US,web
